Departement;Region
AIN;AUVERGNE-RHONE-ALPES
AISNE;HAUTS-DE-FRANCE
ALLIER;AUVERGNE-RHONE-ALPES
ALPES-DE-HAUTE-PROVENCE;PROVENCE-ALPES-COTE D'AZUR
HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR
ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR
ARDECHE;AUVERGNE-RHONE-ALPES
ARDENNES;GRAND EST
ARIEGE;OCCITANIE
AUBE;GRAND EST
AUDE;OCCITANIE
AVEYRON;OCCITANIE
BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR
CALVADOS;NORMANDIE
CANTAL;AUVERGNE-RHONE-ALPES
CHARENTE;NOUVELLE-AQUITAINE
CHARENTE-MARITIME;NOUVELLE-AQUITAINE
CHER;CENTRE-VAL DE LOIRE
CORREZE;NOUVELLE-AQUITAINE
CORSE-DU-SUD;CORSE
HAUTE-CORSE;CORSE
COTE-D'OR;BOURGOGNE-FRANCHE-COMTE
COTES D'ARMOR;BRETAGNE
CREUSE;NOUVELLE-AQUITAINE
DORDOGNE;NOUVELLE-AQUITAINE
DOUBS;BOURGOGNE-FRANCHE-COMTE
DROME;AUVERGNE-RHONE-ALPES
EURE;NORMANDIE
EURE-ET-LOIR;CENTRE-VAL DE LOIRE
FINISTERE;BRETAGNE
GARD;OCCITANIE
HAUTE-GARONNE;OCCITANIE
GERS;OCCITANIE
GIRONDE;NOUVELLE-AQUITAINE
HERAULT;OCCITANIE
ILLE-ET-VILAINE;BRETAGNE
INDRE;CENTRE-VAL DE LOIRE
INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE
ISERE;AUVERGNE-RHONE-ALPES
JURA;BOURGOGNE-FRANCHE-COMTE
LANDES;NOUVELLE-AQUITAINE
LOIR-ET-CHER;CENTRE-VAL DE LOIRE
LOIRE;AUVERGNE-RHONE-ALPES
HAUTE-LOIRE;AUVERGNE-RHONE-ALPES
LOIRE-ATLANTIQUE;PAYS DE LA LOIRE
LOIRET;CENTRE-VAL DE LOIRE
LOT;OCCITANIE
LOT-ET-GARONNE;NOUVELLE-AQUITAINE
LOZERE;OCCITANIE
MAINE-ET-LOIRE;PAYS DE LA LOIRE
MANCHE;NORMANDIE
MARNE;GRAND EST
HAUTE-MARNE;GRAND EST
MAYENNE;PAYS DE LA LOIRE
MEURTHE-ET-MOSELLE;GRAND EST
MEUSE;GRAND EST
MORBIHAN;BRETAGNE
MOSELLE;GRAND EST
NIEVRE;BOURGOGNE-FRANCHE-COMTE
NORD;HAUTS-DE-FRANCE
OISE;HAUTS-DE-FRANCE
ORNE;NORMANDIE
PAS-DE-CALAIS;HAUTS-DE-FRANCE
PUY-DE-DOME;AUVERGNE-RHONE-ALPES
PYRENEES-ATLANTIQUES;NOUVELLE-AQUITAINE
HAUTES-PYRENEES;OCCITANIE
PYRENEES-ORIENTALES;OCCITANIE
BAS-RHIN;GRAND EST
HAUT-RHIN;GRAND EST
RHONE;AUVERGNE-RHONE-ALPES
HAUTE-SAONE;BOURGOGNE-FRANCHE-COMTE
SAONE-ET-LOIRE;BOURGOGNE-FRANCHE-COMTE
SARTHE;PAYS DE LA LOIRE
SAVOIE;AUVERGNE-RHONE-ALPES
HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES
PARIS;ILE-DE-FRANCE
SEINE-MARITIME;NORMANDIE
SEINE-ET-MARNE;ILE-DE-FRANCE
YVELINES;ILE-DE-FRANCE
DEUX-SEVRES;NOUVELLE-AQUITAINE
SOMME;HAUTS-DE-FRANCE
TARN;OCCITANIE
TARN-ET-GARONNE;OCCITANIE
VAR;PROVENCE-ALPES-COTE D'AZUR
VAUCLUSE;PROVENCE-ALPES-COTE D'AZUR
VENDEE;PAYS DE LA LOIRE
VIENNE;NOUVELLE-AQUITAINE
HAUTE-VIENNE;NOUVELLE-AQUITAINE
VOSGES;GRAND EST
YONNE;BOURGOGNE-FRANCHE-COMTE
TERRITOIRE DE BELFORT;BOURGOGNE-FRANCHE-COMTE
ESSONNE;ILE-DE-FRANCE
HAUTS-DE-SEINE;ILE-DE-FRANCE
SEINE-ST-DENIS;ILE-DE-FRANCE
VAL-DE-MARNE;ILE-DE-FRANCE
VAL-D'OISE;ILE-DE-FRANCE
GUADELOUPE;GUADELOUPE
MARTINIQUE;MARTINIQUE
GUYANE;GUYANE
LA REUNION;LA REUNION
MAYOTTE;MAYOTTE
